Course	Room	Teacher	Time	Students
514	STO10	292	6	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 532 749 805 1040 1042 1043 1061 1065 1083 1105 1107 1153
3	UN111	99	1	78 385 407 416
4	HLL107	151	1	21 166 643 658 704
5	ESTW309	251	1	61
7	CHS101	178	2	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097
9	STO301	281	2	150 161 446 451 996 1019 1053 1082
12	MAGILLHVID	68	2	681 732 1180
15	STO10	22	3	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 638 652 653
528	LNKL205	282	1	42 146 151 271 279 341 346 475 480 514 521 640 803
19	GST101	160	11	130 235 245 260 444 487 511 519 747 828 954 966 1013 1027 1046
532	UN114	245	1	37 772 849 1099 1111
21	HLS109	72	9	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153
22	SHA412	122	3	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136
535	HLL6	174	2	81 207 227 269 299 350 415 639 642 684 790 844 1021 1065
24	STOAUD	23	3	83 156 266 344 476 497 545 556 624 632 674 761 784 903 917 1181
516	SHA217	194	2	61 187 189 256 353 402 558 559 685 703 833 928 980 1129
26	ESTW309	113	3	197 229 273 414 495 517 723 876 885 1104 1125
27	HLL112	151	4	201 677 705 772 1029 1163
28	HLL106	145	2	117 358 595 657 677 865 903 935 1115
29	STO10	215	9	49 84 113 116 198 238 254 272 322 537 574 629 683 727 736 778 944 946 961 1015 1048 1094 1113 1152 1181
33	HLL6	212	11	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991
546	STO10	227	1	25 52 60 70 84 112 179 312 322 368 469 529 535 605 617 662 686 688 714 744 831 876 979 992 1064 1103
547	ESTW115	8	4	71 106 230 343 491 601 671 709 741 742 798 810
548	LNKL205	107	2	46 106 159 164 230 250 332 343 355 410 491 551 600
549	GST102	77	6	3 7 12 70 184 232 288 372 414 428 445 471 554 555
39	MAGILLHVID	317	1	359 549 568 659 838 1139
45	SHA412	179	2	50 63 143 195 208 259 388 399 472 496 556 570 589 614 619 696 718 768 923 958 968 983 1071
560	SHA213	54	2	93 327
563	HLS109	261	5	12 26 35 154 170 258 282 318 335 380 385 436 537 647 656 662 716 759 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177
52	HLS105	304	5	175 256 464 552 553 577 703 915 1061
53	STO207	36	1	154
692	HLL201	330	5	53 186 195 303 331 371 450 625 642 674 679 721 734 787
58	HLL201	157	1	41 53 88 140 203 287 342 430 479 595 665 670 680 786
60	HLL201	127	11	144 215 336 403 468 888 894 1170
573	SHA410	296	3	147 245 247 356 406 410 431 477 518 522 539 543 567 779 798 816 913 918 934 953 1005 1012 1016 1045 1074 1117 1144 1176
62	SHAAUD	87	7	91 108 113 137 157 198 241 379 395 418 522 532 565 710 712 749 810 832 833 884 929 983 1011 1068 1102 1164
63	SHAAUD	31	1	50 103 218 406 418 422 459 472 478 519 586 620 768 830 923 1005 1012 1016 1033 1043 1063 1068 1089 1109 1135 1143 1144 1176
576	MAGILLHVID	68	5	56 77 182 455 528 622 762 769 853
684	HLS109	261	2	8 10 43 76 202 357 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094
68	CHS101	180	1	607 796
69	SHA410	62	8	8 77 185 258 321 357 372 383 422 712 861 950 958 990 1063 1107
72	STO16	21	3	14 49 150 396 451 498 675 744 786 898 955 996
585	CHS101	97	5	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185
565	SHA412	273	4	42 91 148 153 169 175 279 464 508 648 660 720 894 1001 1067 1128
590	OBS	39	7	5 22 38 66 170 414 447 592 766 895 1017 1103 1120 1162 1175 1183
79	STOAUD	14	6	196 461 463 900 952
84	HLL7	143	2	100 119 311 323 442 560 730 1062
