Course	Room	Teacher	Time	Students
1	10	26	3	53 107 109 253 271 287 321 324 413 485 604 659 724 738 768 771 785 857 892 935 1032 1176
2	15	91	9	101 281 464 478 547 633 651 654 667 686 758 928 974 283
3	20	145	1	89 168 255 363 373 437 579 623 667 694 742 752 854 870 914 1116 313
4	6	119	4	147 159 242 314 443 527 576 593 596 622 784 872 981 1040 1098 1125
5	16	106	10	7 136 242 280 349 365 606 687 851 1092 174
6	6	4	5	46 133 187 240 296 307 418 428 455 566 709 837 913 1049 412 443
7	8	51	8	80 104 106 307 317 381 436 605 619 663 700 975 993 1068 1126
8	14	41	5	6 23 26 30 73 220 225 238 249 271 340 535 616 671 700 888 921 993 1008 1091 1104
9	14	71	2	144 163 218 231 255 284 297 371 605 614 693 720 773 855 884 930 931 933 1012 1035 1074 1077 1121 1136
10	6	17	9	74 156 264 291 352 400 444 529 646 755 769 938 1044 1068 370
11	16	39	9	97 137 222 266 304 359 372 629 668 672 988 1025 1030 1083
12	1	146	4	153 184 214 369 409 506 721 755 789 908 1067
13	16	120	2	65 200 273 332 396 436 591 592 673 752 845 1100 1113
14	13	125	9	21 214 226 258 294 327 349 418 440 481 519 543 670 1097
15	25	72	7	29 145 177 490 513 686 828
16	1	56	8	34 63 149 155 347 362 420 565 790 899 954 1082 1113
17	30	64	5	89 124 138 143 247 401 417 429 473 520 587 668 678 683 738 1035 1064 1090 1110 1116 1153
18	2	132	2	101 120 292 316 353 554 805 882 928 1076 1181 310 1160
19	11	2	2	67 304 329 472 475 546 565 785 877 1032 1046 1119 1029
20	5	21	9	41 43 103 108 505 576 612 887 962 987 1036 1148 44 804
21	23	20	1	65 67 303 351 359 401 432 556 624 729 856 912 972 1003 1006 1051 1166 229
22	2	105	4	31 100 230 386 400 517 541 936 1016 1077 1087 228 816
23	15	94	1	47 80 119 134 221 260 272 442 480 487 595 626 663 706 817 945 984
24	13	57	5	93 160 215 235 250 269 495 511 776 788 858 929 986 1126 1182 1196
25	18	4	7	35 64 265 349 385 518 559 576 610 626 640 647 706 789 955 986 1055 1087 1135 1008
26	27	87	2	57 80 239 333 341 372 584 657 792 868 906 1151 1175 696
27	3	42	8	53 291 438 441 468 532 537 614 707 737 776 812 874 1016 1079 1124 1173
28	14	96	8	28 96 109 127 216 281 286 477 544 568 673 685 705 794 810 900 943 1021 1087
29	24	58	7	42 49 107 152 170 299 400 426 492 537 796 846 917 259
30	5	83	10	69 112 126 186 203 297 408 438 514 653 818 983 1056 1152 1181 1189
31	12	18	7	105 182 276 293 354 357 411 461 485 496 578 611 653 749 790 816 876 1054 1078 1114 1178 8
32	2	69	7	154 221 290 460 636 717 735 757 808 839 902
33	20	59	6	189 222 285 301 412 477 492 531 600 640 672 819 888 920 1130 1161 1199
34	17	18	9	153 171 335 378 396 632 698 756 770 846 863 882 934 970 996 999 1100 1147 983
35	25	16	4	282 295 315 532 621 668 685 731 24 1152
36	4	13	10	169 388 458 580 986 1014
37	10	101	2	16 112 298 327 426 427 447 541 564 585 639 641 648 703 735 872 888 903 951 1013 1042 1111 1143
38	24	31	6	52 70 82 246 420 520 522 552 607 765 927 963 1153 491
39	16	103	1	153 182 205 390 455 523 737 765 771 820 899 1090 1118 1141 813
40	19	24	5	70 78 391 434 479 575 767 769 1005 1060 1103
41	23	20	8	192 226 257 337 478 583 635 653 704 724 775 798 808 890 973 1114 770
42	6	47	1	13 85 141 150 214 278 292 315 325 343 503 625 864 943 1089 1161 1193
43	15	3	6	45 72 149 274 294 349 546 604 621 634 730 739 791 826 851 1060 1098
44	19	134	8	6 45 278 472 488 569 683 1002 1066 1072 1137 1134
45	28	150	7	193 233 302 408 432 506 682 745 797 837 906 1000 1072
46	20	46	5	59 150 264 300 303 310 319 407 474 515 537 650 708 755 770 779 877
47	6	37	2	61 64 90 129 139 176 187 201 449 553 682 784 809 944 962 1043 1056
48	23	115	5	48 57 119 223 394 396 454 482 498 694 703 729 731 865 866 915 1013 1079
49	28	63	8	151 160 232 359 483 594 601 697 822 875 942 991 1034 1156
50	30	72	9	2 26 49 56 180 191 196 240 435 568 630 681 720 778 789 914 1085 1158
51	17	16	2	35 39 76 115 161 173 181 241 276 501 570 664 774 844 851 878 925 938 964 975 1089 1094 14 1050
52	6	113	6	91 96 276 454 459 684 691 872 917 923 966 1007 1086 1133 267 655 741
53	16	83	7	345 368 409 476 533 619 679 714 748 845 942 1021 1033 1190
54	11	24	1	204 297 307 320 352 604 609 611 657 842 1143 1165 1168 1182 1081
55	20	79	7	12 23 41 47 175 201 314 347 500 639 690 898 968 1076 1124 754
56	14	82	6	4 69 79 110 141 228 315 396 441 539 601 628 658 703 795 953 1033 1034 1048 1113 1131 1135
57	22	39	3	42 62 95 137 296 509 544 590 671 688 691 723 742 750 795 819 821 832 911 1086 1096 1111
58	27	112	5	19 167 172 175 492 540 592 662 775 786 896 905 946
59	5	65	1	48 90 100 110 388 389 456 507 519 645 784 978 1132 1181 1096
60	6	116	3	44 75 90 119 128 246 254 337 465 478 486 573 869 1089 1189 933
61	10	46	1	21 94 109 139 188 263 339 342 393 410 449 728 815 830 880 916 973 993 1046 1125 1153
62	5	56	4	20 87 143 198 384 392 402 434 538 582 588 644 760 1060 1095 1117 1141 1165 258
63	15	82	7	71 82 195 348 420 454 532 572 615 671 777 888 992 1051 676
64	29	47	4	33 44 180 190 488 692 824 1133 1142
65	27	129	9	13 52 96 301 307 323 324 377 445 661 779 1086 561
66	22	85	4	41 107 134 212 219 299 356 428 568 591 617 654 687 720 723 782 838 849 1062 1160 1173
67	13	10	3	26 102 152 184 263 316 318 408 422 450 520 578 593 646 674 1195
68	20	94	8	39 74 219 283 288 427 428 446 492 731 848 892 970 1106 133
69	1	45	9	30 110 179 209 211 225 260 593 949 1144 1146 1157
70	22	118	8	23 66 99 469 484 487 513 632 634 666 749 777 861 974 995 1028 1182
71	5	8	8	244 383 473 514 593 648 674 718 811 833 912 939 958 969 971 977 1015
72	5	48	3	78 96 118 142 356 533 619 716 746 801 850 855 871 1005 1130 1135 1178
